state,state_abbr,occ_code,occ_title,total_emp,mean_salary,median_salary
Wyoming,WY,15-1243,Database Architects,120,61130,57610
Alabama,AL,15-2031,Operations Research Analysts,570,112400,107470
Alaska,AK,15-2031,Operations Research Analysts,90,97410,102450
Arizona,AZ,15-2031,Operations Research Analysts,2600,79700,76010
Arkansas,AR,15-2031,Operations Research Analysts,140,75020,67720
California,CA,15-2031,Operations Research Analysts,20100,92150,82870
Colorado,CO,15-2031,Operations Research Analysts,960,101130,99470
Connecticut,CT,15-2031,Operations Research Analysts,1020,95490,95310
Delaware,DE,15-2031,Operations Research Analysts,670,107770,104220
District of Columbia,DC,15-2031,Operations Research Analysts,2230,116320,109990
Florida,FL,15-2031,Operations Research Analysts,7750,86260,78830
Georgia,GA,15-2031,Operations Research Analysts,4600,82810,78320
Hawaii,HI,15-2031,Operations Research Analysts,230,101520,102080
Idaho,ID,15-2031,Operations Research Analysts,430,84620,69830
Illinois,IL,15-2031,Operations Research Analysts,5320,106300,101880
Indiana,IN,15-2031,Operations Research Analysts,1660,88120,82600
Iowa,IA,15-2031,Operations Research Analysts,190,82640,82020
Kansas,KS,15-2031,Operations Research Analysts,620,95020,99990
Kentucky,KY,15-2031,Operations Research Analysts,1090,81970,78000
Louisiana,LA,15-2031,Operations Research Analysts,460,73900,67480
Maine,ME,15-2031,Operations Research Analysts,360,97810,93700
Maryland,MD,15-2031,Operations Research Analysts,3730,112450,111080
Massachusetts,MA,15-2031,Operations Research Analysts,3820,96930,90160
Michigan,MI,15-2031,Operations Research Analysts,1280,100240,91610
Minnesota,MN,15-2031,Operations Research Analysts,1470,102740,99010
Mississippi,MS,15-2031,Operations Research Analysts,160,84570,83770
Missouri,MO,15-2031,Operations Research Analysts,3070,63640,53600
Montana,MT,15-2031,Operations Research Analysts,150,77970,70230
Nebraska,NE,15-2031,Operations Research Analysts,280,90540,85000
Nevada,NV,15-2031,Operations Research Analysts,310,86390,79410
New Hampshire,NH,15-2031,Operations Research Analysts,340,91500,85100
New Jersey,NJ,15-2031,Operations Research Analysts,3890,108990,102140
New Mexico,NM,15-2031,Operations Research Analysts,480,84690,69760
New York,NY,15-2031,Operations Research Analysts,5980,111860,99480
North Carolina,NC,15-2031,Operations Research Analysts,2270,99020,101190
North Dakota,ND,15-2031,Operations Research Analysts,160,87970,82760
Ohio,OH,15-2031,Operations Research Analysts,3440,93250,88930
Oklahoma,OK,15-2031,Operations Research Analysts,1520,63760,62380
Oregon,OR,15-2031,Operations Research Analysts,1850,99080,97060
Pennsylvania,PA,15-2031,Operations Research Analysts,2420,82110,71440
Rhode Island,RI,15-2031,Operations Research Analysts,220,77740,59390
South Carolina,SC,15-2031,Operations Research Analysts,960,86460,80270
Tennessee,TN,15-2031,Operations Research Analysts,1500,79310,70720
Texas,TX,15-2031,Operations Research Analysts,11690,96300,86510
Utah,UT,15-2031,Operations Research Analysts,1200,81620,80180
Vermont,VT,15-2031,Operations Research Analysts,110,88690,81970
Virginia,VA,15-2031,Operations Research Analysts,7720,121120,117350
Washington,WA,15-2031,Operations Research Analysts,2950,102840,93740
West Virginia,WV,15-2031,Operations Research Analysts,230,70770,61860
Wisconsin,WI,15-2031,Operations Research Analysts,3570,81750,78320
Alabama,AL,15-2041,Statisticians,210,77300,71160
Alaska,AK,15-2041,Statisticians,50,101730,94930
Arizona,AZ,15-2041,Statisticians,450,94080,82550
California,CA,15-2041,Statisticians,2800,129290,125860
Colorado,CO,15-2041,Statisticians,1140,101090,96160
Connecticut,CT,15-2041,Statisticians,310,122420,109700
Delaware,DE,15-2041,Statisticians,120,121550,106000
District of Columbia,DC,15-2041,Statisticians,670,127280,128640
Florida,FL,15-2041,Statisticians,510,87310,82060
Georgia,GA,15-2041,Statisticians,490,114330,107480
Hawaii,HI,15-2041,Statisticians,100,72700,68540
Idaho,ID,15-2041,Statisticians,40,95510,91440
Illinois,IL,15-2041,Statisticians,460,117170,114180
Indiana,IN,15-2041,Statisticians,230,105440,102150
Iowa,IA,15-2041,Statisticians,280,87610,83890
Kansas,KS,15-2041,Statisticians,90,103530,99820
Kentucky,KY,15-2041,Statisticians,100,100220,95940
Louisiana,LA,15-2041,Statisticians,80,75890,69100
Maine,ME,15-2041,Statisticians,30,89610,81060
Maryland,MD,15-2041,Statisticians,3020,127170,123200
Massachusetts,MA,15-2041,Statisticians,2130,105360,84820
Michigan,MI,15-2041,Statisticians,640,108720,106390
Minnesota,MN,15-2041,Statisticians,600,95980,88750
Mississippi,MS,15-2041,Statisticians,70,60860,52390
Missouri,MO,15-2041,Statisticians,530,74870,59620
Montana,MT,15-2041,Statisticians,40,83670,81550
Nebraska,NE,15-2041,Statisticians,150,85010,82300
Nevada,NV,15-2041,Statisticians,70,75600,65880
New Hampshire,NH,15-2041,Statisticians,50,108580,107320
New Jersey,NJ,15-2041,Statisticians,430,122370,119250
New Mexico,NM,15-2041,Statisticians,240,65210,50620
New York,NY,15-2041,Statisticians,1110,140860,118950
North Carolina,NC,15-2041,Statisticians,1790,119280,109950
North Dakota,ND,15-2041,Statisticians,50,75670,73030
Ohio,OH,15-2041,Statisticians,350,88410,88170
Oklahoma,OK,15-2041,Statisticians,**,84000,78270
Oregon,OR,15-2041,Statisticians,600,87650,87920
Pennsylvania,PA,15-2041,Statisticians,2350,96810,83560
Rhode Island,RI,15-2041,Statisticians,40,91120,88970
South Carolina,SC,15-2041,Statisticians,230,77230,71760
Tennessee,TN,15-2041,Statisticians,920,89630,80850
Texas,TX,15-2041,Statisticians,1220,103330,95600
Utah,UT,15-2041,Statisticians,300,88450,85810
Vermont,VT,15-2041,Statisticians,120,74360,69830
Virginia,VA,15-2041,Statisticians,1090,109980,104060
Washington,WA,15-2041,Statisticians,2820,116630,112520
West Virginia,WV,15-2041,Statisticians,80,77080,69360
Wisconsin,WI,15-2041,Statisticians,230,92070,80470
Wyoming,WY,15-2041,Statisticians,40,107080,82780
Alabama,AL,15-2051,Data Scientists,1120,99040,100560
Alaska,AK,15-2051,Data Scientists,200,91710,80000
Arizona,AZ,15-2051,Data Scientists,3800,112470,106400
Arkansas,AR,15-2051,Data Scientists,330,117250,115890
California,CA,15-2051,Data Scientists,33220,140490,133690
Colorado,CO,15-2051,Data Scientists,5910,120320,111970
Connecticut,CT,15-2051,Data Scientists,1190,120480,112750
Delaware,DE,15-2051,Data Scientists,530,130520,138780
District of Columbia,DC,15-2051,Data Scientists,3100,128810,122010
Florida,FL,15-2051,Data Scientists,8400,106490,95360
Georgia,GA,15-2051,Data Scientists,6510,108010,100950
Hawaii,HI,15-2051,Data Scientists,150,126080,129930
Idaho,ID,15-2051,Data Scientists,710,126190,122280
Illinois,IL,15-2051,Data Scientists,6320,115840,108580
Indiana,IN,15-2051,Data Scientists,2440,92520,81620
Iowa,IA,15-2051,Data Scientists,2270,98550,96980
Kansas,KS,15-2051,Data Scientists,**,107000,101610
Kentucky,KY,15-2051,Data Scientists,2080,96290,88800
Louisiana,LA,15-2051,Data Scientists,920,74330,68730
Maine,ME,15-2051,Data Scientists,710,107370,99960
Maryland,MD,15-2051,Data Scientists,2170,126020,125460
Massachusetts,MA,15-2051,Data Scientists,7400,125100,121560
Michigan,MI,15-2051,Data Scientists,4700,96500,90750
Minnesota,MN,15-2051,Data Scientists,2240,118760,114630
Mississippi,MS,15-2051,Data Scientists,290,72220,62600
Missouri,MO,15-2051,Data Scientists,3850,88210,81410
Montana,MT,15-2051,Data Scientists,90,101350,94420
Nebraska,NE,15-2051,Data Scientists,1780,94960,92640
Nevada,NV,15-2051,Data Scientists,980,96800,86030
New Hampshire,NH,15-2051,Data Scientists,780,97330,92670
New Jersey,NJ,15-2051,Data Scientists,4340,134140,130570
New Mexico,NM,15-2051,Data Scientists,380,88720,87020
New York,NY,15-2051,Data Scientists,16390,134830,128890
North Carolina,NC,15-2051,Data Scientists,6640,125950,126940
North Dakota,ND,15-2051,Data Scientists,240,102410,113620
Ohio,OH,15-2051,Data Scientists,4660,97530,97070
Oklahoma,OK,15-2051,Data Scientists,2130,93020,83810
Oregon,OR,15-2051,Data Scientists,2640,124480,114910
Pennsylvania,PA,15-2051,Data Scientists,7490,102370,97260
Rhode Island,RI,15-2051,Data Scientists,900,127380,128350
South Carolina,SC,15-2051,Data Scientists,2090,100790,95310
South Dakota,SD,15-2051,Data Scientists,150,97940,91460
Tennessee,TN,15-2051,Data Scientists,2090,97710,92400
Texas,TX,15-2051,Data Scientists,20560,109000,100100
Utah,UT,15-2051,Data Scientists,3530,101780,97490
Vermont,VT,15-2051,Data Scientists,220,124430,117500
Virginia,VA,15-2051,Data Scientists,4810,139080,136490
Washington,WA,15-2051,Data Scientists,5640,148730,132620
West Virginia,WV,15-2051,Data Scientists,180,94330,67660
Wisconsin,WI,15-2051,Data Scientists,3090,105250,101850
Wyoming,WY,15-2051,Data Scientists,**,125330,130370
Alabama,AL,15-2099,"Mathematical Science Occupations, All Other",30,46540,37820
Alaska,AK,15-2099,"Mathematical Science Occupations, All Other",90,74760,72180
California,CA,15-2099,"Mathematical Science Occupations, All Other",440,138840,155150
District of Columbia,DC,15-2099,"Mathematical Science Occupations, All Other",220,93480,98880
Georgia,GA,15-2099,"Mathematical Science Occupations, All Other",180,75000,65170
Illinois,IL,15-2099,"Mathematical Science Occupations, All Other",1520,81750,75620
Kentucky,KY,15-2099,"Mathematical Science Occupations, All Other",70,50610,46180
Maryland,MD,15-2099,"Mathematical Science Occupations, All Other",110,80360,43490
Massachusetts,MA,15-2099,"Mathematical Science Occupations, All Other",40,73590,77730
Mississippi,MS,15-2099,"Mathematical Science Occupations, All Other",40,49100,40340
New Jersey,NJ,15-2099,"Mathematical Science Occupations, All Other",**,63080,57230
New York,NY,15-2099,"Mathematical Science Occupations, All Other",100,86210,71830
North Carolina,NC,15-2099,"Mathematical Science Occupations, All Other",90,124800,139400
Ohio,OH,15-2099,"Mathematical Science Occupations, All Other",30,*,*
Pennsylvania,PA,15-2099,"Mathematical Science Occupations, All Other",50,*,*
South Carolina,SC,15-2099,"Mathematical Science Occupations, All Other",**,55650,45040
Tennessee,TN,15-2099,"Mathematical Science Occupations, All Other",**,64990,61490
Texas,TX,15-2099,"Mathematical Science Occupations, All Other",50,57100,38960
Virginia,VA,15-2099,"Mathematical Science Occupations, All Other",240,69920,49800
Washington,WA,15-2099,"Mathematical Science Occupations, All Other",370,70760,66830
