state,state_abbr,occ_code,occ_title,total_emp,mean_salary,median_salary
Tennessee,TN,13-2031,Budget Analysts,960,82830,79370
Texas,TX,13-2031,Budget Analysts,3770,81760,76600
Utah,UT,13-2031,Budget Analysts,450,88120,82830
Vermont,VT,13-2031,Budget Analysts,40,80300,78350
Virginia,VA,13-2031,Budget Analysts,2620,104050,102900
Washington,WA,13-2031,Budget Analysts,1100,91740,84390
West Virginia,WV,13-2031,Budget Analysts,200,79220,73690
Wisconsin,WI,13-2031,Budget Analysts,1050,79990,76590
Wyoming,WY,13-2031,Budget Analysts,90,78040,74760
Alabama,AL,13-2041,Credit Analysts,470,90100,82860
Alaska,AK,13-2041,Credit Analysts,30,71990,65740
Arizona,AZ,13-2041,Credit Analysts,2630,75920,66510
Arkansas,AR,13-2041,Credit Analysts,250,66500,60390
California,CA,13-2041,Credit Analysts,6260,99220,81220
Colorado,CO,13-2041,Credit Analysts,1200,101090,84640
Connecticut,CT,13-2041,Credit Analysts,570,89500,78300
District of Columbia,DC,13-2041,Credit Analysts,50,89180,81230
Florida,FL,13-2041,Credit Analysts,4160,86360,76780
Georgia,GA,13-2041,Credit Analysts,1760,82920,66150
Hawaii,HI,13-2041,Credit Analysts,90,84110,76860
Idaho,ID,13-2041,Credit Analysts,450,74830,69350
Illinois,IL,13-2041,Credit Analysts,3500,99490,84680
Indiana,IN,13-2041,Credit Analysts,760,72730,64490
Iowa,IA,13-2041,Credit Analysts,970,94750,84200
Kansas,KS,13-2041,Credit Analysts,590,77130,66980
Kentucky,KY,13-2041,Credit Analysts,810,82210,74640
Louisiana,LA,13-2041,Credit Analysts,230,67870,57170
Maine,ME,13-2041,Credit Analysts,230,81580,76860
Maryland,MD,13-2041,Credit Analysts,1130,93370,80280
Massachusetts,MA,13-2041,Credit Analysts,1990,100820,85950
Michigan,MI,13-2041,Credit Analysts,1460,76010,67460
Minnesota,MN,13-2041,Credit Analysts,1660,81100,75980
Mississippi,MS,13-2041,Credit Analysts,320,66290,56620
Missouri,MO,13-2041,Credit Analysts,1190,76870,71370
Montana,MT,13-2041,Credit Analysts,230,70220,61070
Nebraska,NE,13-2041,Credit Analysts,530,79600,78020
Nevada,NV,13-2041,Credit Analysts,360,82740,70830
New Hampshire,NH,13-2041,Credit Analysts,290,85640,79420
New Jersey,NJ,13-2041,Credit Analysts,2250,94850,79730
New Mexico,NM,13-2041,Credit Analysts,90,84240,82490
New York,NY,13-2041,Credit Analysts,8550,142370,129670
North Carolina,NC,13-2041,Credit Analysts,3390,99730,89710
North Dakota,ND,13-2041,Credit Analysts,300,88360,82050
Ohio,OH,13-2041,Credit Analysts,3020,81830,69990
Oklahoma,OK,13-2041,Credit Analysts,770,74100,63500
Oregon,OR,13-2041,Credit Analysts,820,81420,75750
Pennsylvania,PA,13-2041,Credit Analysts,2440,85230,77640
Rhode Island,RI,13-2041,Credit Analysts,220,91240,78460
South Carolina,SC,13-2041,Credit Analysts,900,85700,74920
South Dakota,SD,13-2041,Credit Analysts,340,73400,64940
Tennessee,TN,13-2041,Credit Analysts,1280,74450,63630
Texas,TX,13-2041,Credit Analysts,7120,83470,74080
Utah,UT,13-2041,Credit Analysts,980,70200,58950
Vermont,VT,13-2041,Credit Analysts,80,87010,74040
Virginia,VA,13-2041,Credit Analysts,2130,107020,98240
Washington,WA,13-2041,Credit Analysts,1610,103770,95310
West Virginia,WV,13-2041,Credit Analysts,130,62180,52500
Wisconsin,WI,13-2041,Credit Analysts,1880,84130,65460
Wyoming,WY,13-2041,Credit Analysts,100,84710,93980
Alabama,AL,13-2051,Financial and Investment Analysts,2250,99640,84990
Alaska,AK,13-2051,Financial and Investment Analysts,270,110580,91790
Arizona,AZ,13-2051,Financial and Investment Analysts,6260,101630,81560
Arkansas,AR,13-2051,Financial and Investment Analysts,1310,84690,76190
California,CA,13-2051,Financial and Investment Analysts,35660,125220,109080
Colorado,CO,13-2051,Financial and Investment Analysts,8460,113480,97570
Connecticut,CT,13-2051,Financial and Investment Analysts,5610,117060,101780
Delaware,DE,13-2051,Financial and Investment Analysts,2920,109110,96750
District of Columbia,DC,13-2051,Financial and Investment Analysts,3710,115620,102890
Florida,FL,13-2051,Financial and Investment Analysts,18070,96010,81680
Georgia,GA,13-2051,Financial and Investment Analysts,10450,100010,83610
Hawaii,HI,13-2051,Financial and Investment Analysts,520,84850,85180
Idaho,ID,13-2051,Financial and Investment Analysts,840,86300,76830
Illinois,IL,13-2051,Financial and Investment Analysts,17060,120390,101510
Indiana,IN,13-2051,Financial and Investment Analysts,2430,86530,81310
Iowa,IA,13-2051,Financial and Investment Analysts,2180,91130,85650
Kansas,KS,13-2051,Financial and Investment Analysts,1790,82250,79190
Kentucky,KY,13-2051,Financial and Investment Analysts,2340,74340,61590
Louisiana,LA,13-2051,Financial and Investment Analysts,1700,65070,52010
Maine,ME,13-2051,Financial and Investment Analysts,710,90080,86100
Maryland,MD,13-2051,Financial and Investment Analysts,3810,109650,97640
Massachusetts,MA,13-2051,Financial and Investment Analysts,16840,127760,103240
Michigan,MI,13-2051,Financial and Investment Analysts,7520,95710,83920
Minnesota,MN,13-2051,Financial and Investment Analysts,6620,102950,99380
Mississippi,MS,13-2051,Financial and Investment Analysts,650,86580,76970
Missouri,MO,13-2051,Financial and Investment Analysts,5650,86310,79030
Montana,MT,13-2051,Financial and Investment Analysts,390,128720,91940
Nebraska,NE,13-2051,Financial and Investment Analysts,940,91370,80080
Nevada,NV,13-2051,Financial and Investment Analysts,1030,95200,82110
New Hampshire,NH,13-2051,Financial and Investment Analysts,690,95870,87250
New Jersey,NJ,13-2051,Financial and Investment Analysts,11250,128280,103680
New Mexico,NM,13-2051,Financial and Investment Analysts,810,90340,80900
New York,NY,13-2051,Financial and Investment Analysts,49220,143330,125110
North Carolina,NC,13-2051,Financial and Investment Analysts,10490,104610,99990
North Dakota,ND,13-2051,Financial and Investment Analysts,280,82130,79520
Ohio,OH,13-2051,Financial and Investment Analysts,7820,95600,83960
Oklahoma,OK,13-2051,Financial and Investment Analysts,1760,89500,79560
Oregon,OR,13-2051,Financial and Investment Analysts,2390,103840,101820
Pennsylvania,PA,13-2051,Financial and Investment Analysts,12020,94400,82810
Rhode Island,RI,13-2051,Financial and Investment Analysts,1870,97090,80950
South Carolina,SC,13-2051,Financial and Investment Analysts,3470,102870,87840
South Dakota,SD,13-2051,Financial and Investment Analysts,620,86050,79860
Tennessee,TN,13-2051,Financial and Investment Analysts,3230,95160,83490
Texas,TX,13-2051,Financial and Investment Analysts,25100,102590,87950
Utah,UT,13-2051,Financial and Investment Analysts,4370,99050,82050
Vermont,VT,13-2051,Financial and Investment Analysts,270,108800,93560
Virginia,VA,13-2051,Financial and Investment Analysts,9130,113800,103060
Washington,WA,13-2051,Financial and Investment Analysts,7420,100860,98080
West Virginia,WV,13-2051,Financial and Investment Analysts,320,74500,67090
Wisconsin,WI,13-2051,Financial and Investment Analysts,4490,102090,88830
Alabama,AL,13-2054,Financial Risk Specialists,210,100490,99160
Alaska,AK,13-2054,Financial Risk Specialists,50,100120,108810
Arizona,AZ,13-2054,Financial Risk Specialists,1390,87070,76830
Arkansas,AR,13-2054,Financial Risk Specialists,150,79900,64050
California,CA,13-2054,Financial Risk Specialists,4860,120920,109160
Colorado,CO,13-2054,Financial Risk Specialists,900,100380,96230
Connecticut,CT,13-2054,Financial Risk Specialists,690,128350,109600
Delaware,DE,13-2054,Financial Risk Specialists,1610,124800,133290
District of Columbia,DC,13-2054,Financial Risk Specialists,100,122720,110550
Florida,FL,13-2054,Financial Risk Specialists,4170,109960,101020
Georgia,GA,13-2054,Financial Risk Specialists,1650,109680,103570
Hawaii,HI,13-2054,Financial Risk Specialists,90,83190,68490
Idaho,ID,13-2054,Financial Risk Specialists,150,83000,73400
Illinois,IL,13-2054,Financial Risk Specialists,2170,111170,100700
Indiana,IN,13-2054,Financial Risk Specialists,370,94320,87150
Iowa,IA,13-2054,Financial Risk Specialists,510,108980,102810
Kansas,KS,13-2054,Financial Risk Specialists,330,77290,69550
Kentucky,KY,13-2054,Financial Risk Specialists,540,86690,81450
Louisiana,LA,13-2054,Financial Risk Specialists,330,66840,62000
Maine,ME,13-2054,Financial Risk Specialists,210,101790,102740
Maryland,MD,13-2054,Financial Risk Specialists,1090,113610,102540
Massachusetts,MA,13-2054,Financial Risk Specialists,1400,120540,108700
Michigan,MI,13-2054,Financial Risk Specialists,810,96030,90260
Minnesota,MN,13-2054,Financial Risk Specialists,1130,114390,102440
Mississippi,MS,13-2054,Financial Risk Specialists,200,85610,80860
Missouri,MO,13-2054,Financial Risk Specialists,1060,94760,83520
Nebraska,NE,13-2054,Financial Risk Specialists,360,84210,82950
Nevada,NV,13-2054,Financial Risk Specialists,580,105300,85560
New Hampshire,NH,13-2054,Financial Risk Specialists,210,94270,96760
New Jersey,NJ,13-2054,Financial Risk Specialists,2200,127540,120750
New Mexico,NM,13-2054,Financial Risk Specialists,160,88330,75840
New York,NY,13-2054,Financial Risk Specialists,10990,159350,139670
North Carolina,NC,13-2054,Financial Risk Specialists,2060,121710,109270
North Dakota,ND,13-2054,Financial Risk Specialists,40,84090,76490
Ohio,OH,13-2054,Financial Risk Specialists,1720,105560,100490
Oklahoma,OK,13-2054,Financial Risk Specialists,250,85660,79710
Oregon,OR,13-2054,Financial Risk Specialists,390,112040,116150
Pennsylvania,PA,13-2054,Financial Risk Specialists,1270,104770,97240
Rhode Island,RI,13-2054,Financial Risk Specialists,270,110200,107780
South Carolina,SC,13-2054,Financial Risk Specialists,450,93940,86250
South Dakota,SD,13-2054,Financial Risk Specialists,70,96830,94200
Tennessee,TN,13-2054,Financial Risk Specialists,700,94530,77120
Texas,TX,13-2054,Financial Risk Specialists,3770,101820,91370
Utah,UT,13-2054,Financial Risk Specialists,700,98680,92220
Vermont,VT,13-2054,Financial Risk Specialists,40,90760,99990
Virginia,VA,13-2054,Financial Risk Specialists,1380,119370,109350
Washington,WA,13-2054,Financial Risk Specialists,730,111170,105620
West Virginia,WV,13-2054,Financial Risk Specialists,60,79110,67420
Wisconsin,WI,13-2054,Financial Risk Specialists,640,98190,97690
Wyoming,WY,13-2054,Financial Risk Specialists,50,88760,92990
Alabama,AL,15-1211,Computer Systems Analysts,5950,108520,102560
Alaska,AK,15-1211,Computer Systems Analysts,430,88210,86720
Arizona,AZ,15-1211,Computer Systems Analysts,11860,100510,100280
Arkansas,AR,15-1211,Computer Systems Analysts,2620,84330,77210
California,CA,15-1211,Computer Systems Analysts,49930,129420,124370
Colorado,CO,15-1211,Computer Systems Analysts,9290,118340,105980
Connecticut,CT,15-1211,Computer Systems Analysts,6610,107670,103830
Delaware,DE,15-1211,Computer Systems Analysts,2660,131620,113060
District of Columbia,DC,15-1211,Computer Systems Analysts,2310,120030,103960
Florida,FL,15-1211,Computer Systems Analysts,32760,106050,99770
Georgia,GA,15-1211,Computer Systems Analysts,12240,105820,100120
Hawaii,HI,15-1211,Computer Systems Analysts,1440,93230,87980
Idaho,ID,15-1211,Computer Systems Analysts,1910,91360,80960
Illinois,IL,15-1211,Computer Systems Analysts,20570,101970,99470
Indiana,IN,15-1211,Computer Systems Analysts,10900,96610,92310
Iowa,IA,15-1211,Computer Systems Analysts,4770,95380,91040
Kansas,KS,15-1211,Computer Systems Analysts,5970,100410,102180
Kentucky,KY,15-1211,Computer Systems Analysts,4120,83040,80980
Louisiana,LA,15-1211,Computer Systems Analysts,2430,85530,82660
Maine,ME,15-1211,Computer Systems Analysts,2420,89380,81810
Maryland,MD,15-1211,Computer Systems Analysts,13800,118460,111100
Massachusetts,MA,15-1211,Computer Systems Analysts,14070,124870,111890
Michigan,MI,15-1211,Computer Systems Analysts,15000,101510,100100
Minnesota,MN,15-1211,Computer Systems Analysts,12180,108940,106930
